bench,sample_id,task_type,score,layout_score,content_score,style_score,asset_score,confidence,one_sentence_reason,reference_images,generated_image,html_path
design2code,256,static_generation,96.0,100.0,98.0,95.0,100.0,high,整体还原度极高，仅存在细微字体粗细与副标题颜色偏差，不影响视觉一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\inputs\images\256_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\rendered_fixed\256.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\html\256.html
design2code,378,static_generation,88.0,92.0,95.0,80.0,85.0,high,整体布局与内容高度还原，但左侧导航栏背景色和顶部 header 背景缺失导致视觉风格偏差，属明显样式失真。,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\inputs\images\378_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\rendered_fixed\378.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\html\378.html
design2code,335,static_generation,94.0,98.0,100.0,92.0,100.0,high,整体还原度极高，仅存在细微的样式差异（如导航高亮色深浅、标题字号与缩进），无内容或布局错误。,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\inputs\images\335_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\rendered_fixed\335.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\html\335.html
design2code,416,static_generation,94.0,96.0,98.0,90.0,100.0,high,整体还原度极高，仅存在极细微的间距与面包屑分隔符细节差异，无内容或结构偏差。,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\inputs\images\416_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\rendered_fixed\416.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\html\416.html
design2code,278,static_generation,88.0,95.0,98.0,80.0,100.0,high,整体布局、内容与结构高度还原，但关键标签的颜色、边框样式及部分UI细节存在可感知的视觉偏差。,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\inputs\images\278_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\rendered_fixed\278.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\html\278.html
design2code,332,static_generation,96.0,100.0,100.0,95.0,90.0,high,整体还原度极高，仅存在微小间距偏差与页脚链接颜色未完全匹配,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\inputs\images\332_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\rendered_fixed\332.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\html\332.html
design2code,193,static_generation,96.0,100.0,98.0,95.0,100.0,high,整体视觉还原极佳，仅存在细微的代码块提示符颜色、链接下划线及段落缩进等非关键样式偏差。,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\inputs\images\193_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\rendered_fixed\193.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\html\193.html
design2code,105,static_generation,94.0,96.0,98.0,90.0,95.0,high,整体还原度极高，仅在标签颜色、链接样式及细微排版上存在可察觉但不影响功能的偏差。,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\inputs\images\105_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\rendered_fixed\105.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\html\105.html
design2code,229,static_generation,88.0,92.0,95.0,80.0,70.0,high,整体布局与内容高度还原，但关键CTA按钮颜色、分享组件样式及部分文本颜色存在明显风格偏差。,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\inputs\images\229_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\rendered_fixed\229.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\html\229.html
design2code,125,static_generation,95.0,100.0,100.0,90.0,100.0,high,整体布局、内容与结构高度一致，仅蓝色区块宽度和导航栏字间距存在细微偏差。,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\inputs\images\125_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\rendered_fixed\125.png,experiments\random10_bench_smoke\mimo_random10_20260604\design2code\html\125.html
